KW,Bulk 2.0,Bulk 2.05,Bulk 2.1
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.21,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.22,0.25,0.19,0.19
0.20,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.19,0.25,0.19,0.19
0.18,0.25,0.19,0.19
0.17,0.25,0.19,0.19
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.16,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.11,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.12,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.15,0.24,0.16,0.16
0.14,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.13,0.24,0.16,0.16
0.14,0.24,0.16,0.16
